"[D]0 / M","fitted signal","[D]0 / M","imported data","Quantity","Value","Error"
0.,6.524836922385485e-15,0,6.81037e-15,"adjusted R-squared",1,""
8.100000000000001e-8,4.615024687280831e-7,6.1e-8,3.80061e-7,"conc(H)",5.e-7,""
1.6200000000000002e-7,8.115856717771781e-7,1.22e-7,6.98465e-7,"conc(D)",8.1e-6,""
2.4300000000000005e-7,1.0776248756299621e-6,1.83e-7,9.66847e-7,"conc(G)",5.e-7,""
3.2400000000000004e-7,1.2796139080280152e-6,2.44e-7,1.19444e-6,"Kequ(HD)",1.096e7,0
4.0500000000000004e-7,1.4320882638927326e-6,3.05e-7,1.38853e-6,"Kequ(HDD)",2.089e6,0
4.860000000000001e-7,1.5457320765900749e-6,3.66e-7,1.55484e-6,"Kequ(HG)",1.12e7,0
5.67e-7,1.628537564359367e-6,4.27e-7,1.6979e-6,"QY-Ratio",0.043,""
6.480000000000001e-7,1.6866031623046935e-6,4.88e-7,1.82133e-6,"Signal-0",0,0
7.290000000000001e-7,1.7246766319587602e-6,5.49e-7,1.92806e-6,"Signal-HD",10,0
8.100000000000001e-7,1.7465256120436314e-6,6.1e-7,2.02044e-6,"Signal-Dye",0,0
8.910000000000001e-7,1.7551924721603191e-6,6.71e-7,2.10043e-6,"dilution",1,""
9.720000000000002e-7,1.7531712776269942e-6,7.32e-7,2.16962e-6,"Date","Mon 25 Nov 2019 22:42:34",""
1.0530000000000001e-6,1.7425318832770808e-6,7.93e-7,2.22937e-6
1.134e-6,1.725007872364575e-6,8.54e-7,2.28079e-6
1.2150000000000002e-6,1.7020596887191302e-6,9.15e-7,2.32485e-6
1.2960000000000002e-6,1.6749207890865237e-6,9.76e-7,2.36236e-6
1.3770000000000001e-6,1.6446322687209867e-6,1.037e-6,2.39402e-6
1.4580000000000003e-6,1.61206975705147e-6,1.098e-6,2.42044e-6
1.5390000000000002e-6,1.5779651876776674e-6,1.159e-6,2.44214e-6
1.6200000000000002e-6,1.5429251729101667e-6,1.22e-6,2.45959e-6
1.7010000000000003e-6,1.5074470750236241e-6,1.281e-6,2.4732e-6
1.7820000000000003e-6,1.4719334139360676e-6,1.342e-6,2.48331e-6
1.8630000000000002e-6,1.4367049475766518e-6,1.403e-6,2.49027e-6
1.9440000000000004e-6,1.4020125749502528e-6,1.464e-6,2.49434e-6
2.025e-6,1.3680481130104695e-6,1.525e-6,2.49579e-6
2.1060000000000002e-6,1.334953959568131e-6,1.586e-6,2.49485e-6
2.1870000000000004e-6,1.3028316522916138e-6,1.647e-6,2.49174e-6
2.268e-6,1.2717493503189108e-6,1.708e-6,2.48663e-6
2.3490000000000003e-6,1.2417482875056681e-6,1.769e-6,2.4797e-6
2.4300000000000005e-6,1.2128482672009193e-6,1.83e-6,2.47113e-6
2.511e-6,1.1850522838501893e-6,1.891e-6,2.46104e-6
2.5920000000000003e-6,1.158350365514057e-6,1.952e-6,2.44958e-6
2.6730000000000005e-6,1.1327227339952618e-6,2.013e-6,2.43688e-6
2.7540000000000002e-6,1.1081423769038128e-6,2.074e-6,2.42304e-6
2.8350000000000004e-6,1.0845771201018275e-6,2.135e-6,2.40819e-6
2.9160000000000005e-6,1.0619912809132422e-6,2.196e-6,2.39241e-6
2.9970000000000003e-6,1.0403469733729328e-6,2.257e-6,2.3758e-6
3.0780000000000004e-6,1.019605127457268e-6,2.318e-6,2.35846e-6
3.1590000000000006e-6,9.997262752507637e-7,2.379e-6,2.34046e-6
3.2400000000000003e-6,9.806711487090114e-7,2.44e-6,2.32188e-6
3.3210000000000005e-6,9.624011262571829e-7,2.501e-6,2.30279e-6
3.4020000000000006e-6,9.448785589789314e-7,2.562e-6,2.28326e-6
3.4830000000000004e-6,9.28067001587377e-7,2.623e-6,2.26335e-6
3.5640000000000005e-6,9.11931368666476e-7,2.684e-6,2.24313e-6
3.6450000000000007e-6,8.964380327410779e-7,2.745e-6,2.22264e-6
3.7260000000000004e-6,8.815548774817417e-7,2.806e-6,2.20194e-6
3.8070000000000006e-6,8.672513166803783e-7,2.867e-6,2.18108e-6
3.888000000000001e-6,8.534982874553804e-7,2.928e-6,2.1601e-6
3.9690000000000005e-6,8.402682243792545e-7,2.989e-6,2.13905e-6
4.05e-6,8.275350197970269e-7,3.05e-6,2.11796e-6
4.131000000000001e-6,8.152739744589837e-7,3.111e-6,2.09687e-6
4.2120000000000005e-6,8.034617416751969e-7,3.172e-6,2.07581e-6
4.293e-6,7.920762674687595e-7,3.233e-6,2.05481e-6
4.374000000000001e-6,7.810967286241883e-7,3.294e-6,2.03391e-6
4.4550000000000005e-6,7.705034700678169e-7,3.355e-6,2.01312e-6
4.536e-6,7.602779426543577e-7,3.416e-6,1.99247e-6
4.617000000000001e-6,7.504026421488478e-7,3.477e-6,1.97198e-6
4.698000000000001e-6,7.40861049970193e-7,3.538e-6,1.95167e-6
4.779e-6,7.31637576088913e-7,3.599e-6,1.93156e-6
4.860000000000001e-6,7.227175043373148e-7,3.66e-6,1.91166e-6
4.941000000000001e-6,7.140869402870224e-7,3.721e-6,1.89198e-6
5.022e-6,7.057327617701038e-7,3.782e-6,1.87254e-6
5.103000000000001e-6,6.976425720607038e-7,3.843e-6,1.85335e-6
5.184000000000001e-6,6.898046556900278e-7,3.904e-6,1.83442e-6
5.265e-6,6.822079368353704e-7,3.965e-6,1.81575e-6
5.346000000000001e-6,6.74841940201057e-7,4.026e-6,1.79735e-6
5.427000000000001e-6,6.676967542935645e-7,4.087e-6,1.77923e-6
