conc,Signal,Quantity,Value
M,INT,Mode,Ga0 varied
0.,1.3317151540704138e-8,conc(H),2.3e-7
2.e-8,1.2121850193834293e-8,conc(D),0.000012042
4.e-8,1.0934730202656745e-8,Kequ(HD),9.5e6
6.000000000000001e-8,9.75587496143737e-9,Kequ(HDD),2.2e6
8.e-8,8.585451015778062e-9,conc(G),1.2299999999999999e-6
1.e-7,7.423770083744564e-9,Kequ(HG),7.82e12
1.2000000000000002e-7,6.271416429473928e-9,Signal-0,0
1.4e-7,5.129536252972854e-9,Signal-HD,1
1.6e-7,4.000588342384047e-9,Signal-Dye,0
1.8e-7,2.890681551645279e-9,c-step,2.e-8
2.e-7,1.8190048234272318e-9,QY ratio,0.5348837209302326
2.2e-7,8.688085366980162e-10
2.4000000000000003e-7,3.199070169978965e-10
2.6e-7,1.5554113632495749e-10
2.8e-7,9.89541904721389e-11
3.e-7,7.202029605124552e-11
3.2e-7,5.648511304954639e-11
3.4000000000000003e-7,4.642189912598286e-11
3.6e-7,3.9385845867454904e-11
3.8e-7,3.4194460265027514e-11
4.e-7,3.0208418849993494e-11
4.2e-7,2.705255504814354e-11
4.4e-7,2.449246594789364e-11
4.6e-7,2.237426215657722e-11
4.800000000000001e-7,2.0592780275110164e-11
5.e-7,1.9073735193519072e-11
5.2e-7,1.77631736141347e-11
5.4e-7,1.662096981426506e-11
5.6e-7,1.5616666130366047e-11
5.800000000000001e-7,1.4726728641102503e-11
6.e-7,1.3932686813398684e-11
6.2e-7,1.3219842044594651e-11
6.4e-7,1.2576352087647133e-11
6.6e-7,1.1992569690170586e-11
6.800000000000001e-7,1.1460556778035201e-11
7.e-7,1.0973722147958457e-11
7.2e-7,1.0526547538871662e-11
7.4e-7,1.0114377921710407e-11
7.6e-7,9.733259109481741e-12
7.8e-7,9.37981068556423e-12
8.e-7,9.051125604591516e-12
8.2e-7,8.744690156653673e-12
8.4e-7,8.458319635014198e-12
8.6e-7,8.190106227335222e-12
8.8e-7,7.938376504533692e-12
9.000000000000001e-7,7.70165650674749e-12
9.2e-7,7.478642888576356e-12
9.4e-7,7.268178931464875e-12
9.600000000000001e-7,7.0692344917743515e-12
9.8e-7,6.880889151359099e-12
1.e-6,6.702317989490519e-12
1.02e-6,6.532779512437426e-12
1.04e-6,6.3716053684278084e-12
1.06e-6,6.2181915473487685e-12
1.08e-6,6.071990821032974e-12
1.1e-6,5.93250622480538e-12
1.12e-6,5.799285416739624e-12
1.14e-6,5.67191577978464e-12
1.1600000000000001e-6,5.550020155085382e-12
1.18e-6,5.43325311360284e-12
1.2e-6,5.321297688440054e-12
1.22e-6,5.213862502804234e-12
